year,exporter_code,importer_code,exporter_name,importer_name,hs_section,value,quantity
1995,156,699,China,India,IV - Prepared foodstuffs; beverages; tobacco,3339.474,2898.5519999999997
1995,156,699,China,India,IX - Wood and articles of wood,619.71,1072.191
1995,156,699,China,India,V - Mineral products,193972.573,2218018.044
1995,156,699,China,India,VI - Products of the chemical or allied industries,303526.727,101324.758
1995,156,699,China,India,VII - Plastics and rubber,16161.834,8722.789
1995,156,699,China,India,VIII - Raw hides and skins; leather; travel goods,5753.392,831.8389999999999
1995,156,699,China,India,X - Pulp of wood; paper and paperboard,24131.204,34273.71
1995,156,699,China,India,XI - Textiles and textile articles,108921.51,9094.365
1995,156,699,China,India,XII - Footwear; headgear; umbrellas,8570.56,1846.787
1995,156,699,China,India,"XIII - Articles of stone, plaster, cement, glass",7744.121,4041.661
1995,156,699,China,India,XIV - Natural or cultured pearls; precious stones,4428.6669999999995,0.221
1995,156,699,China,India,XV - Base metals and articles of base metal,66913.618,99964.886
1995,156,699,China,India,XVI - Machinery and electrical equipment,146359.397,44651.96
1995,156,699,China,India,"XVII - Vehicles, aircraft, vessels",2636.409,1676.397
1995,156,699,China,India,"XVIII - Optical, medical, measuring instruments",14037.427,843.952
1995,156,699,China,India,XX - Miscellaneous manufactured articles,6483.224,1095.478
1995,156,826,China,United Kingdom,I - Live animals; animal products,40819.435,21258.567
1995,156,826,China,United Kingdom,II - Vegetable products,49154.919,47862.584
1995,156,826,China,United Kingdom,III - Animal or vegetable fats and oils,1532.59,699.825
1995,156,826,China,United Kingdom,IV - Prepared foodstuffs; beverages; tobacco,34079.038,63943.428
1995,156,826,China,United Kingdom,IX - Wood and articles of wood,45941.66,18899.454999999998
1995,156,826,China,United Kingdom,V - Mineral products,64636.522,484447.507
1995,156,826,China,United Kingdom,VI - Products of the chemical or allied industries,258906.061,204181.956
1995,156,826,China,United Kingdom,VII - Plastics and rubber,158703.452,68029.737
1995,156,826,China,United Kingdom,VIII - Raw hides and skins; leather; travel goods,179831.673,28656.21
1995,156,826,China,United Kingdom,X - Pulp of wood; paper and paperboard,45374.759000000005,14983.005000000001
1995,156,826,China,United Kingdom,XI - Textiles and textile articles,627320.6259999999,66270.443
1995,156,826,China,United Kingdom,XII - Footwear; headgear; umbrellas,152758.467,19200.211
1995,156,826,China,United Kingdom,"XIII - Articles of stone, plaster, cement, glass",50599.216,47998.791
1995,156,826,China,United Kingdom,XIV - Natural or cultured pearls; precious stones,6336.139999999999,0.535
1995,156,826,China,United Kingdom,XIX - Arms and ammunition,375.272,67.276
1995,156,826,China,United Kingdom,XV - Base metals and articles of base metal,232249.905,137528.748
1995,156,826,China,United Kingdom,XVI - Machinery and electrical equipment,740759.513,106336.093
1995,156,826,China,United Kingdom,"XVII - Vehicles, aircraft, vessels",24068.350000000002,8024.802
1995,156,826,China,United Kingdom,"XVIII - Optical, medical, measuring instruments",106267.232,4194.202
